title,author,publisher,grade_specific,grade_category,source,publication_date,isbn,translator
笑翻天1分鐘生物課2：哺乳動物,"作者：劉天伊\n繪者：繪時光",野人,五上,高,喜閱網,2024-05-02,9786267428535,
左鎮人爺爺，您幾歲？,"作者：王淑芬\n繪者：南君",巴巴文化,五上,高,喜閱網,2023-06-01,9786269741700,
我家開戲院,"作者：林玫伶\n繪者：曹俊彥",聯經,五上,高,喜閱網,2023-05-18,9789570869132,
【可能小學的西洋文明任務Ⅱ】1航海王大冒險,"作者：王文華\n繪者：李恩",親子天下,五上,高,喜閱網,2023-09-05,9786263055643,
空空如也博物館1：夢遊青銅夜宴,"作者：米家貝\n繪者：蚩尤",聯經出版公司,五上,高,喜閱網,2022-12-01,9789570866162,
"跟著歷史名人去遊歷：\n愛玩大少爺郁永河遊臺灣","作者：王文華\n繪者：久久童畫工作室",小熊出版,五上,高,喜閱網,2023-01-17,9786267015568,
我的阿嬤是時光機,"作者：李光福\n繪者：蔡豫寧",小兵,五上,高,喜閱網,2022-03-02,9789865581374,
怪咖教室1：誰是金平亮？,"作者：陳景聰\n繪者：林芷蔚",親子天下,五上,高,喜閱網,2021-04-29,9789575039783,
小徒弟兔寶的創作課2：森林裡的奇幻藍染,"作者：張友漁\n繪者：蔡嘉驊",遠流,五上,高,喜閱網,2021-03-31,9789573292418,
來自清水的孩子1：愛讀冊的少年,"作者：游珮芸，周見信\n繪者：周見信",慢工文化,五上,高,喜閱網,2020-05-20,9789869889414,
神祕圖書館偵探1：有品味的賊,"作者：王文華\n繪者：王秋香",親子天下,五上,高,喜閱網,2018-03-29,9789575030803,
從前從前，有個紅衛兵女孩,"作者：翁鬧\n繪者：林小杯",小魯文化,五上,高,喜閱網,2017-06-01,9789862117088,
我的虎爺好朋友,"作者： 海德薇 \n繪者： 王淑慧",九歌,五上,高,喜閱網,2018-09-01,9789864502080,
我並不孤單：少年鍋餅的勇氣之旅,"作者： 李明足  \n繪者： 許育榮",四也出版,五上,高,喜閱網,2018-07-05,9789869653305,
勇敢向世界發聲-馬拉拉,"作者： 林滿秋\n繪者： 陳佳蕙",小天下,五上,高,喜閱網,2018-06-13,9789864794164,
我的爸爸是流氓,"作者：張友漁   \n繪者：吳孟芸",親子天下,五上,高,喜閱網,2011-08-16,9789862413937,
半個老大,"作者：王文華   \n繪者：王秋香",親子天下,五上,高,喜閱網,2014-01-24,9789862418291,
健身練習曲,"作者：林滿秋   \n繪者：江長芳",小魯文化,五上,高,喜閱網,2016-12-10,9789862116692,
可能小學的歷史任務II 達達馬蹄到漢朝,"作者：王文華   \n繪者：徐至宏",親子天下,五上,高,喜閱網,2012-01-17,9789862414705,
小杰的神奇之旅：高雄大樹繪本故事,"作者：小天下編輯部\n繪者：Asta Wu",小天下,五下,高,喜閱網,2021-10-27,9789865252533,
小選舉大作戰：關於那場自治市小市長選舉,"作者：邱靖巧\n繪者：欣笛",大好文化企業社,五下,高,喜閱網,2022-10-07,9786269583263,
